episode,scramble,solved,steps,reward,epsilon,solve_rate,avg_steps,avg_reward,total_solves,best_streak,tile_accuracy
1200,3,false,25,-4.5833,0.887004,0.0900,22.94,5.5442,81,4,0.1667
1210,3,false,25,-2.5000,0.886117,0.1100,22.46,7.6358,83,4,0.1667
1220,3,true,1,100.0000,0.885231,0.1300,21.98,9.6692,85,4,1.0000
1230,3,false,25,-6.2500,0.884347,0.1200,22.22,8.4858,85,4,0.2083
1240,3,false,25,-7.9167,0.883463,0.1300,22.02,9.6277,86,4,0.1250
1250,3,false,25,-6.2500,0.882580,0.1100,22.50,7.5235,86,4,0.2917
1260,3,true,1,100.0000,0.881786,0.1100,22.48,7.6297,88,4,0.3333
1270,3,false,25,-5.8333,0.880992,0.1200,22.24,8.6630,91,4,0.0417
1280,3,false,25,-0.8333,0.879936,0.1400,21.82,10.8195,93,4,0.4167
1290,3,false,25,-4.5833,0.879056,0.1400,21.76,10.7630,94,4,0.1250
1300,3,false,25,-1.6667,0.878178,0.1500,21.52,11.8838,96,4,0.3333
1310,3,false,25,-0.0000,0.877300,0.1300,22.00,9.8297,96,4,0.4167
1320,3,false,25,-2.5000,0.876423,0.1200,22.24,8.6797,97,4,0.3750
1330,3,false,25,-2.5000,0.875547,0.1200,22.24,8.7713,97,4,0.2083
1340,3,false,25,-4.1667,0.874759,0.1200,22.20,8.7087,98,4,0.1667
1350,3,false,25,-7.0833,0.873797,0.1600,21.32,12.8798,102,4,0.2083
1360,3,false,25,-7.5000,0.872924,0.1400,21.80,10.5798,102,4,0.0833
1370,3,false,25,-2.9167,0.872051,0.1200,22.26,8.6027,103,4,0.1250
1380,3,false,25,-4.5833,0.871180,0.1200,22.20,8.5837,105,4,0.1667
1390,3,false,25,-4.1667,0.870396,0.1100,22.44,7.6545,105,4,0.4167
1400,3,false,25,-7.9167,0.869439,0.0900,22.92,5.5420,105,4,0.1250
1410,3,false,25,-8.3333,0.868570,0.1100,22.44,7.4170,107,4,0.0833
1420,3,false,25,-3.3333,0.867702,0.1100,22.44,7.3962,108,4,0.1250
1430,3,false,25,-2.5000,0.866835,0.1100,22.44,7.4337,108,4,0.1667
1440,3,true,1,100.0000,0.865968,0.1100,22.44,7.5087,109,4,1.0000
1450,3,false,25,-2.9167,0.865103,0.0700,23.32,3.2958,109,4,0.1250
1460,3,false,25,-1.2500,0.864411,0.0800,23.10,4.4605,110,4,0.3333
1470,3,false,25,-2.9167,0.863374,0.0700,23.34,3.3022,110,4,0.1250
1480,3,false,25,-4.1667,0.862511,0.0500,23.82,1.2438,110,4,0.4167
1490,3,false,25,-5.8333,0.861649,0.0700,23.34,3.1063,112,4,0.0833
1500,3,false,25,-4.1667,0.860874,0.0800,23.14,4.0815,113,4,0.1250
1510,3,false,25,-0.4167,0.860013,0.0600,23.62,2.1148,113,4,0.3750
1520,3,false,25,-4.1667,0.859068,0.0600,23.62,2.1690,114,4,0.1250
1530,3,false,25,-4.5833,0.858209,0.0600,23.62,2.0607,114,4,0.2083
1540,3,false,25,-5.4167,0.857351,0.0800,23.16,3.9712,117,4,0.1250
1550,3,true,1,100.0000,0.856580,0.1100,22.46,7.1858,120,4,1.0000
1560,3,false,25,-6.6667,0.855638,0.1000,22.68,6.1087,120,4,0.1667
1570,3,false,25,-2.9167,0.854783,0.1300,21.96,9.3628,123,4,0.1250
1580,3,false,25,-3.3333,0.853928,0.1400,21.72,10.3920,124,4,0.0833
